Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),# neighbours,error
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,190.00000,1.00000,12.92818,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,191.00000,45.00000,35.98673,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,191.00000,40.00000,34.99171,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,191.00000,35.00000,34.32836,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,191.00000,30.00000,32.39359,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,191.00000,25.00000,30.29298,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,191.00000,20.00000,27.41846,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,191.00000,15.00000,24.54395,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,191.00000,10.00000,19.78994,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,191.00000,5.00000,15.03593,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40851,191.00000,1.00000,12.93532,
mnist3-deskewed,dp-max,5000.00000,784.00000,4.12032,3383.00000,1.00000,0.92764,
mnist3-deskewed,dp-max,5000.00000,784.00000,4.12032,3383.00000,45.00000,4.57638,
mnist3-deskewed,dp-max,5000.00000,784.00000,4.12032,3383.00000,40.00000,2.47372,
mnist3-deskewed,dp-max,5000.00000,784.00000,4.12032,3383.00000,35.00000,2.04082,
mnist3-deskewed,dp-max,5000.00000,784.00000,4.12032,3383.00000,30.00000,1.54607,
mnist3-deskewed,dp-max,5000.00000,784.00000,4.12032,3383.00000,25.00000,1.29870,
mnist3-deskewed,dp-max,5000.00000,784.00000,4.12032,3383.00000,20.00000,0.98949,
mnist3-deskewed,dp-max,5000.00000,784.00000,4.12032,3383.00000,15.00000,0.80396,
mnist3-deskewed,dp-max,5000.00000,784.00000,4.12032,3383.00000,10.00000,0.61843,
mnist3-deskewed,dp-max,5000.00000,784.00000,4.12032,3383.00000,5.00000,0.92764,
mnist3-deskewed,dp-max,5000.00000,784.00000,4.12032,3383.00000,1.00000,0.92764,
mnist3-deskewed,dp-mean,5000.00000,784.00000,4.12032,2301.00000,45.00000,22.37866,
mnist3-deskewed,dp-mean,5000.00000,784.00000,4.12032,2301.00000,40.00000,20.56317,
mnist3-deskewed,dp-mean,5000.00000,784.00000,4.12032,2301.00000,35.00000,17.71026,
mnist3-deskewed,dp-mean,5000.00000,784.00000,4.12032,2301.00000,30.00000,15.00556,
